athlete_id,first_name,last_name,full_name,team,team_abbreviation,weight_class,seed,division
92e02f35-1fa7-40bb-a421-bd2766051243,Abnelis,Yambo,Abnelis Yambo,Brewton-Parker College,BPC,136,2,NAIA
3c629930-5371-4f31-a319-bd82e60780f4,Agatha,Andrews,Agatha Andrews,University of Jamestown,UJ,191,2,NAIA
c5d0c6ba-57ed-41b6-922f-010b718a3588,Akina,Yamada,Akina Yamada,Waldorf University,WU,136,,NAIA
fd2bff7a-a376-4f14-a8c8-e96553b90d53,Alanah,Vetterick,Alanah Vetterick,Midland University,MU,123,,NAIA
efd4941c-f74e-459b-83bb-ebdb5965d814,Alaura,Couch,Alaura Couch,Waldorf University,WU,101,,NAIA
d68c1964-52f7-4977-ace6-519508fbd516,Alessia,Cokeley,Alessia Cokeley,Ottawa University W,OU,109,,NAIA
b81d85af-22d4-4c6a-968e-ba03bd8ac331,Alexandra,Castillo,Alexandra Castillo,Campbellsville University W,CU,191,6,NAIA
c082ee09-5e0f-4ef6-8518-ae8fe8bda9db,Alexandrea,Banag,Alexandrea Banag,Lyon College,LC,136,,NAIA
1add20a4-035e-4d93-b1fa-4deae66c75ac,Alexandria,Enriquez,Alexandria Enriquez,Life University W,LIFE,130,,NAIA
9d29bcf1-b510-4b5c-9b74-fa3283519d6d,Alexia,Foca,Alexia Foca,Campbellsville University W,CU,155,7,NAIA
e3191e7d-1a92-4c6c-b166-e49faa0887f2,Alexis,Cavero,Alexis Cavero,Eastern Oregon University,EOU,170,,NAIA
0e459529-d352-4401-a436-bd3916916dd6,Alleida,Martinez,Alleida Martinez,Menlo,MWC,109,1,NAIA
53abf84e-4ee3-4914-a5d4-85bcfc71909b,Alyandina,Bushe,Alyandina Bushe,Missouri Valley College,,191,,NAIA
c3003cf5-da68-479f-b2df-5a7139540327,Alyssa,Schrull,Alyssa Schrull,University of Jamestown,UJ,170,8,NAIA
ae251065-bdfd-4a30-b59f-4cb92bf49dcb,Amber,Pair,Amber Pair,Eastern Oregon University,EOU,116,,NAIA
b44f308b-4369-47dd-9aee-eec9f8ccb4f0,Amber,Garriga,Amber Garriga,Life University W,LIFE,101,6,NAIA
6da8ac2e-d270-4296-9f57-3322b5e10fb1,Analy,Gonsalez,Analy Gonsalez,University of Jamestown,UJ,136,,NAIA
