year,weight_class,round,bout_number,winner,winner_school,win_method,score,loser,loser_school,is_bye
2019,101,Round of 16,,Asia Ray,Wayland Baptist University W,BYE,,BYE,,True
2019,101,Round of 16,14,Faye Cherrier,Life University W,VSU,10-0 1:22,Kylie Marlin,York College,False
2019,101,Round of 16,,Jessica Rodriguez,University of the Cumberlands,BYE,,BYE,,True
2019,101,Round of 16,15,Junnette Caldera,University of Jamestown,VFA,1:42 6-0,Lisa Megargee,Eastern Oregon University,False
2019,101,Round of 16,16,Hiba Salem,Menlo,VSU,10-0 1:30,Alaura Couch,Waldorf University,False
2019,101,Round of 16,,Amber Garriga,Life University W,BYE,,BYE,,True
2019,101,Round of 16,,Kassidy Ramirez,Lyon College,BYE,,BYE,,True
2019,101,Round of 16,,Nina Pham,Wayland Baptist University W,BYE,,BYE,,True
2019,101,Quarter-Finals,92,Asia Ray,Wayland Baptist University W,VFA,2:04 8-0,Faye Cherrier,Life University W,False
2019,101,Quarter-Finals,93,Junnette Caldera,University of Jamestown,VFA,3:32 12-4,Jessica Rodriguez,University of the Cumberlands,False
2019,101,Quarter-Finals,94,Hiba Salem,Menlo,VPO1,10-1,Amber Garriga,Life University W,False
2019,101,Quarter-Finals,95,Nina Pham,Wayland Baptist University W,VSU1,12-2 0:00,Kassidy Ramirez,Lyon College,False
2019,101,Semi-Finals,197,Asia Ray,Wayland Baptist University W,VFA,2:34 2-2,Junnette Caldera,University of Jamestown,False
2019,101,Semi-Finals,198,Nina Pham,Wayland Baptist University W,VSU1,12-1 5:08,Hiba Salem,Menlo,False
2019,101,Finals,260,Asia Ray,Wayland Baptist University W,VSU1,8-1 6:00,Nina Pham,Wayland Baptist University W,False
2019,101,Consi of 8 #1,,Kylie Marlin,York College,BYE,,BYE,,True
2019,101,Consi of 8 #1,,Lisa Megargee,Eastern Oregon University,BYE,,BYE,,True
2019,101,Consi of 8 #1,,Alaura Couch,Waldorf University,BYE,,BYE,,True
2019,101,Consi of 8 #1,,,,BYE,,,,True
2019,101,Consi of 8 #2,160,Kassidy Ramirez,Lyon College,VSU,10-0 1:36,Kylie Marlin,York College,False
2019,101,Consi of 8 #2,161,Amber Garriga,Life University W,VPO1,4-2,Lisa Megargee,Eastern Oregon University,False
2019,101,Consi of 8 #2,162,Jessica Rodriguez,University of the Cumberlands,VSU,10-0 2:48,Alaura Couch,Waldorf University,False
2019,101,Consi of 8 #2,,Faye Cherrier,Life University W,BYE,,BYE,,True
2019,101,Consi of 4,199,Kassidy Ramirez,Lyon College,VPO1,12-4,Amber Garriga,Life University W,False
2019,101,Consi of 4,200,Jessica Rodriguez,University of the Cumberlands,VSU,11-0 5:33,Faye Cherrier,Life University W,False
2019,101,Consi-Semis,237,Junnette Caldera,University of Jamestown,VFA,2:43 12-4,Kassidy Ramirez,Lyon College,False
