weight_class_id,weight_class,division_id,division,sequence
0681f9ed-5334-484d-8d22-f994ef98790f,101,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,1
d173a105-e8a4-4e7a-a17e-83e37fa00546,109,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,2
265335ef-98c0-40de-8545-0da328bfd84f,116,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,3
514aa5e3-68d6-498c-b21c-654ec02d0495,123,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,4
172110a7-6759-4eb7-8a55-d0c9284492de,130,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,5
6690bcb9-0fd8-4438-abaf-a08568f577ca,136,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,6
364028e0-a568-427f-a745-442dcd18b314,143,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,7
2928135c-8bd7-4502-8e8a-4208bbb72fef,155,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,8
d5195e42-6d61-4caa-a994-d46089b9cef3,170,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,9
3cb2bde7-7158-46e2-87d0-9526c029e9a7,191,09752b69-04b4-4b74-af7c-13e53766ebf8,NAIA,10
