year,date,weight_class,round,bout_number,mat,winner,winner_school,win_method,score,loser,loser_school,is_bye,video_url
2021,2021-03-12T15:02:01+0000,101,Round of 32,101,Mat 1,Nina Pham,Wayland Baptist (W),VSU,10-0 1:19,Ira Navarro,Providence (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923248&limit=60
2021,,101,Round of 32,,,Angelina Casteneda,Cumberlands (W),BYE,,BYE,,True,
2021,,101,Round of 32,,,Brooke Burrows,Corban,BYE,,BYE,,True,
2021,2021-03-12T15:06:11+0000,101,Round of 32,102,Mat 1,Alaura Couch,Grand View (W),VSU,10-0 2:58,Kylie Marlin,York (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923252&limit=60
2021,2021-03-12T15:14:50+0000,101,Round of 32,103,Mat 1,Chalimar Rodriguez,William Penn,VPO1,11-6,Unity Cordova,Life (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923270&limit=60
2021,,101,Round of 32,,,Kassidy Ramirez,Lyon (W),BYE,,BYE,,True,
2021,,101,Round of 32,,,Destiny Shelton,Indiana Tech,BYE,,BYE,,True,
2021,,101,Round of 32,,,Esthella Trevino,Southern Oregon (W),BYE,,BYE,,True,
2021,2021-03-12T15:16:44+0000,101,Round of 32,104,Mat 1,Ivy Navarro,Providence (W),VSU,10-0 1:05,Ella Whitaker,York (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923272&limit=60
2021,,101,Round of 32,,,Karly Scott,Southern Oregon (W),BYE,,BYE,,True,
2021,,101,Round of 32,,,Caryssa Aguirre,Wayland Baptist (W),BYE,,BYE,,True,
2021,2021-03-12T15:18:13+0000,101,Round of 32,105,Mat 1,Esther Walker,Midland (W),VFA,0:16 6-0,Angelique Cervantes,Life Pacific (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923276&limit=60
2021,2021-03-12T15:26:20+0000,101,Round of 32,106,Mat 1,Madison Brown,Texas Wesleyan (W),VPO1,12-5,Gabriela Garcia,Brewton Parker (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923290&limit=60
2021,,101,Round of 32,,,Whitley Blake,Indiana Tech,BYE,,BYE,,True,
2021,2021-03-12T15:28:03+0000,101,Round of 32,107,Mat 1,Devyn Gomez,Life (W),VSU,10-0 0:46,Audree Garcia,Central Christian (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923295&limit=60
2021,,101,Round of 32,,,Elizabeth Dosado,Cumberlands (W),BYE,,BYE,,True,
2021,2021-03-12T15:31:03+0000,101,Round of 16,117,Mat 1,Nina Pham,Wayland Baptist (W),VSU,10-0 1:42,Angelina Casteneda,Cumberlands (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923302&limit=60
2021,2021-03-12T15:36:42+0000,101,Round of 16,118,Mat 1,Alaura Couch,Grand View (W),VSU,10-0 3:28,Brooke Burrows,Corban,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923307&limit=60
2021,2021-03-12T15:43:27+0000,101,Round of 16,119,Mat 1,Kassidy Ramirez,Lyon (W),VFA,3:23 4-4,Chalimar Rodriguez,William Penn,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923316&limit=60
2021,2021-03-12T15:46:00+0000,101,Round of 16,120,Mat 1,Esthella Trevino,Southern Oregon (W),VSU,10-0 1:30,Destiny Shelton,Indiana Tech,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923322&limit=60
2021,2021-03-12T15:47:46+0000,101,Round of 16,121,Mat 1,Ivy Navarro,Providence (W),VSU,10-0 0:49,Karly Scott,Southern Oregon (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923324&limit=60
2021,2021-03-12T15:55:40+0000,101,Round of 16,122,Mat 1,Esther Walker,Midland (W),VFA,3:58 12-6,Caryssa Aguirre,Wayland Baptist (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923331&limit=60
2021,2021-03-12T16:01:59+0000,101,Round of 16,123,Mat 1,Madison Brown,Texas Wesleyan (W),VFA,4:21 8-4,Whitley Blake,Indiana Tech,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923342&limit=60
2021,2021-03-12T16:10:52+0000,101,Round of 16,124,Mat 1,Devyn Gomez,Life (W),VFA,5:12 10-6,Elizabeth Dosado,Cumberlands (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923353&limit=60
2021,2021-03-12T23:02:00+0000,101,Quarter-Finals,149,Mat 1,Nina Pham,Wayland Baptist (W),VSU,10-0 1:09,Alaura Couch,Grand View (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924191&limit=60
2021,2021-03-12T23:05:33+0000,101,Quarter-Finals,150,Mat 1,Esthella Trevino,Southern Oregon (W),VFA,2:22 8-4,Kassidy Ramirez,Lyon (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924197&limit=60
2021,2021-03-12T23:09:01+0000,101,Quarter-Finals,151,Mat 1,Ivy Navarro,Providence (W),VSU,10-0 2:07,Esther Walker,Midland (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924209&limit=60
2021,2021-03-12T23:15:04+0000,101,Quarter-Finals,152,Mat 1,Madison Brown,Texas Wesleyan (W),VFA,3:48 12-5,Devyn Gomez,Life (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924219&limit=60
2021,2021-03-13T16:08:19+0000,101,Semi-Finals,601,Mat 2,Nina Pham,Wayland Baptist (W),VSU1,12-2 4:30,Esthella Trevino,Southern Oregon (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6925016&limit=60
2021,2021-03-13T16:02:53+0000,101,Semi-Finals,602,Mat 3,Ivy Navarro,Providence (W),VFA,0:22 4-0,Madison Brown,Texas Wesleyan (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6925008&limit=60
2021,2021-03-14T01:09:01+0000,101,Finals,701,Mat 3,Nina Pham,Wayland Baptist (W),VFA,2:19 8-0,Ivy Navarro,Providence (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6926157&limit=60
2021,,101,Consi of 16 #1,,,Ira Navarro,Providence (W),BYE,,BYE,,True,
2021,,101,Consi of 16 #1,,,Kylie Marlin,York (W),BYE,,BYE,,True,
2021,,101,Consi of 16 #1,,,Unity Cordova,Life (W),BYE,,BYE,,True,
2021,,101,Consi of 16 #1,,,,,BYE,,,,True,
2021,,101,Consi of 16 #1,,,Ella Whitaker,York (W),BYE,,BYE,,True,
2021,,101,Consi of 16 #1,,,Angelique Cervantes,Life Pacific (W),BYE,,BYE,,True,
2021,,101,Consi of 16 #1,,,Gabriela Garcia,Brewton Parker (W),BYE,,BYE,,True,
2021,,101,Consi of 16 #1,,,Audree Garcia,Central Christian (W),BYE,,BYE,,True,
2021,2021-03-12T16:57:25+0000,101,Consi of 16 #2,135,Mat 1,Ira Navarro,Providence (W),VPO1,12-3,Elizabeth Dosado,Cumberlands (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923404&limit=60
2021,2021-03-12T16:45:15+0000,101,Consi of 16 #2,136,Mat 1,Whitley Blake,Indiana Tech,VSU,10-0 3:38,Kylie Marlin,York (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923393&limit=60
2021,2021-03-12T16:19:14+0000,101,Consi of 16 #2,137,Mat 1,Caryssa Aguirre,Wayland Baptist (W),VFA,1:06 4-2,Unity Cordova,Life (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923366&limit=60
2021,,101,Consi of 16 #2,,,Karly Scott,Southern Oregon (W),BYE,,BYE,,True,
2021,2021-03-12T16:16:34+0000,101,Consi of 16 #2,138,Mat 1,Destiny Shelton,Indiana Tech,VSU1,13-2 3:08,Ella Whitaker,York (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923360&limit=60
2021,2021-03-12T16:24:51+0000,101,Consi of 16 #2,139,Mat 1,Chalimar Rodriguez,William Penn,VFA,3:36 10-5,Angelique Cervantes,Life Pacific (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923370&limit=60
2021,2021-03-12T16:37:13+0000,101,Consi of 16 #2,140,Mat 1,Gabriela Garcia,Brewton Parker (W),VSU1,12-2 6:00,Brooke Burrows,Corban,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923382&limit=60
2021,2021-03-12T16:39:37+0000,101,Consi of 16 #2,141,Mat 1,Angelina Casteneda,Cumberlands (W),VSU,10-0 1:43,Audree Garcia,Central Christian (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6923386&limit=60
2021,2021-03-12T23:16:57+0000,101,Consi of 8 #1,153,Mat 1,Ira Navarro,Providence (W),VFA,0:42 6-0,Whitley Blake,Indiana Tech,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924221&limit=60
2021,2021-03-12T23:27:10+0000,101,Consi of 8 #1,154,Mat 1,Caryssa Aguirre,Wayland Baptist (W),VPO1,11-7,Karly Scott,Southern Oregon (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924243&limit=60
2021,2021-03-12T23:35:05+0000,101,Consi of 8 #1,155,Mat 1,Chalimar Rodriguez,William Penn,VPO1,6-2,Destiny Shelton,Indiana Tech,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924263&limit=60
2021,2021-03-12T23:39:30+0000,101,Consi of 8 #1,156,Mat 1,Angelina Casteneda,Cumberlands (W),VSU,10-0 2:53,Gabriela Garcia,Brewton Parker (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924273&limit=60
2021,2021-03-12T23:43:55+0000,101,Consi of 8 #2,165,Mat 1,Ira Navarro,Providence (W),VFA,2:05 6-0,Kassidy Ramirez,Lyon (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924289&limit=60
2021,2021-03-12T23:52:50+0000,101,Consi of 8 #2,166,Mat 1,Alaura Couch,Grand View (W),VPO1,10-8,Caryssa Aguirre,Wayland Baptist (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924313&limit=60
2021,2021-03-12T23:59:18+0000,101,Consi of 8 #2,167,Mat 1,Devyn Gomez,Life (W),VFA,4:39 9-0,Chalimar Rodriguez,William Penn,False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924330&limit=60
2021,2021-03-13T00:03:55+0000,101,Consi of 8 #2,168,Mat 1,Angelina Casteneda,Cumberlands (W),VFA,1:44 6-2,Esther Walker,Midland (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6924347&limit=60
2021,2021-03-13T17:46:19+0000,101,Consi of 4,603,Mat 3,Ira Navarro,Providence (W),VSU,12-0 2:31,Alaura Couch,Grand View (W),False,https://www.flowrestling.org/events/6880100-2021-naia-womens-wrestling-tournament/videos?playing=6925225&limit=60
