weight_class,round,winner,winner_school,win_method,score,loser,loser_school
103,Champ. Round 1,Alexis Hatfield,Avila,Dec,7-0,Nayeli Flores Roque,Eastern Oregon
103,Champ. Round 1,Karina Vang,Doane,TF,12-2,Eyvori Jacquez,Saint Mary
103,Champ. Round 1,Katherine Hernandez,Life,Fall,3:18,Morgan Repasky,Montreat
110,Champ. Round 1,Anaya Falcon,Life,Dec,9-2,Rodiah Adeduntan,Lindsey Wilson
110,Champ. Round 1,Hailey Holland,Missouri Valley,TF,10-0,Allison Hancher,Indiana Tech
110,Champ. Round 1,Lita Cruz,Grand View,Fall,0:59,Iby Garcia,Oklahoma City
110,Champ. Round 1,Reagan Thomas,Lindsey Wilson,Dec,4-4,Jenna Gerhardt,Dickinson State
110,Champ. Round 1,Tristan Nitta,Grand View,Fall,2:00,Sarah Pineda,Missouri Valley
117,Champ. Round 1,Shammilka Miranda,Cumberlands,Dec,6-0,Marissa Kurtz,Southern Oregon
117,Champ. Round 1,Jasmine Howard,Southern Oregon,TF,10-0,Larhae Whaley,Dickinson State
117,Champ. Round 1,Katherine Heath,Baker,TF,15-2,Kendall Martin,Ottawa
124,Champ. Round 1,Cristelle Rodriguez,Doane,Fall,1:12,Presley Anderson,Cumberlands
124,Champ. Round 1,Kamilah Brooks,Lindsey Wilson,TF,10-0,Kaylee Annis,Southern Oregon
124,Champ. Round 1,Rose Kaplan,Indiana Tech,TF,12-1,Ariana Martinez,Life
124,Champ. Round 1,Jasmina Immaeva,Missouri Valley,TF,15-4,Jill High,York
124,Champ. Round 1,Joanna Vanderwood,William Penn,TF,10-0,Kadence Beck,Eastern Oregon
124,Champ. Round 1,Anna Krejsa,Life,Fall,2:18,Sydney Bridenstine,Lindsey Wilson
124,Champ. Round 1,Alyssa Randles,Providence,Dec,8-1,Malia Welch,Southern Oregon
124,Champ. Round 1,Ellabelle Taylor,Evergreen State,Dec,6-2,Emily Paulino,Midland
124,Champ. Round 1,Katie Gomez,Cumberlands,TF,10-0,Chloe Herrick,Missouri Baptist
131,Champ. Round 1,Ashlee Palimoo,Doane,Dec,4-2,Annabelle Suto,Cumberlands
131,Champ. Round 1,Jumoke Adekoye,Dickinson State,TF,11-0,Nicole Redmond,Avila
131,Champ. Round 1,Larissa Kaz,Hastings,TF,10-0,Andrea Hernandez,Indiana Tech
131,Champ. Round 1,Sarah Savidge,Life,TF,10-0,Keera Lacock,Dakota Wesleyan
131,Champ. Round 1,Xochitl Mota-Pettis,Missouri Valley,TF,10-0,Keira Nartatez,Midland
131,Champ. Round 1,Olivia Mottley,Life,TF,11-0,Destiny Campbell,Oklahoma City
131,Champ. Round 1,Mary Jane Porter,Cumberlands,Fall,4:01,Emma Truex,Ottawa
138,Champ. Round 1,Gabriella Perez,Campbellsville,Dec,9-1,Lilly Gough,Central Methodist
138,Champ. Round 1,Kendall Bostelman,William Penn,Fall,0:30,Tabitha Wood,Hastings
138,Champ. Round 1,Isabelle Hawley,William Penn,Fall,0:29,Jaclyn Riedinger,Avila
138,Champ. Round 1,Serenity De La Garza,Missouri Valley,TF,10-0,Livia Swift,Ottawa
145,Champ. Round 1,Jamilah McBryde,Life,Fall,1:05,Holland Wieber,Southern Oregon
145,Champ. Round 1,Lisa Hoeflich,Hastings,Dec,7-2,Makena Schramm,Midland
145,Champ. Round 1,Sevreign Aumua,Missouri Valley,TF,12-0,Aevri Ciha,Doane
145,Champ. Round 1,Esther Kolawole,William Penn,TF,10-0,Alivia Ming,Cumberlands
145,Champ. Round 1,Anastasia Hardin,Missouri Baptist,Fall,3:46,Aniseta Acosta,Missouri Valley
145,Champ. Round 1,Josselinne Campos,Lindsey Wilson,Dec,5-4,Esther Han,Providence
145,Champ. Round 1,Liv Wieber,Eastern Oregon,Fall,2:35,Makayla Munoz,Oklahoma City
160,Champ. Round 1,Abigail Sebesta,Ottawa,Fall,1:04,Isabella Deeds,Hastings
160,Champ. Round 1,Josette Partney,Missouri Baptist,TF,10-0,Mohagany Casel,Wayland Baptist
160,Champ. Round 1,Quilaztli Miguel,Southern Oregon,Fall,2:24,Amelia Frounfelter,Saint Mary
160,Champ. Round 1,Darby Weidl,Ottawa,TF,10-0,Lamia Benn,Doane
180,Champ. Round 1,Saiheron Preciado-Meza,Cumberlands,Fall,2:42,Emma Schreiber,Missouri Baptist
180,Champ. Round 1,Bailey Dennis,Southern Oregon,Dec,10-3,Ella Murphey,Oklahoma City
180,Champ. Round 1,Yazmin Belk,Doane,Fall,2:59,Kaylee Davis,Ottawa
180,Champ. Round 1,America Lopez,William Penn,Fall,3:00,Catherine McNulty,Indiana Tech
180,Champ. Round 1,India Page,Lindsey Wilson,Dec,7-3,Kyree Rubio,Westcliff
207,Champ. Round 1,Olivia Brown,Grand View,Dec,3-0,Brianna Staebler,Campbellsville
207,Champ. Round 1,Hailey Romero,Doane,Fall,1:50,Kena Leonard,Ottawa
207,Champ. Round 1,Bella Porcelli,Grand View,Fall,1:47,Naomi Duenas,Cumberlands
103,Champ. Round 2,Erin Hikiji,Providence,Fall,0:53,Alexis Hatfield,Avila
103,Champ. Round 2,Angelina Casteneda,Cumberlands,Fall,1:47,Devyn Moore,Grand View
103,Champ. Round 2,Judy Sandoval,Grand View,Fall,2:35,Sofia Abramson,Oklahoma City
103,Champ. Round 2,Karina Vang,Doane,Fall,3:35,Olivia Atkins,William Penn
103,Champ. Round 2,Alexis Miller,Oklahoma City,Fall,1:37,Lillian Zapata,William Penn
