year,weight_class,round,winner,winner_school,win_method,score,loser,loser_school
2026,103,1st Place Match,Erin Hikiji,Providence,tech fall,TF 11-0,Zoey Haney,Indiana Tech
2026,103,3rd Place Match,Makennah Craft,Campbellsville,tech fall,TF 11-0,Alexsys Jacquez,Saint Mary
2026,103,5th Place Match,Lita Cruz,Grand View,decision,Dec 8-4,Alexis Miller,Oklahoma City
2026,103,7th Place Match,Aynsley Fink,Ottawa,tech fall,TF 11-0,Isabelle Apple,Grand View
2026,103,Cons. Semi,Alexsys Jacquez,Saint Mary,decision,Dec 13-8,Alexis Miller,Oklahoma City
2026,103,Cons. Semi,Makennah Craft,Campbellsville,decision,Dec 5-4,Lita Cruz,Grand View
2026,103,Cons. Round 5,Alexsys Jacquez,Saint Mary,tech fall,TF 15-2,Aynsley Fink,Ottawa
2026,103,Cons. Round 5,Makennah Craft,Campbellsville,decision,Dec 7-5,Isabelle Apple,Grand View
2026,103,Semifinal,Erin Hikiji,Providence,tech fall,TF 10-0,Lita Cruz,Grand View
2026,103,Semifinal,Zoey Haney,Indiana Tech,fall,Fall 1:55,Alexis Miller,Oklahoma City
2026,103,Cons. Round 4,Aynsley Fink,Ottawa,decision,Dec 6-2,Calli Connally,Wayland Baptist
2026,103,Cons. Round 4,Alexsys Jacquez,Saint Mary,tech fall,TF 13-2,Destiny Jones,Saint Mary
2026,103,Cons. Round 4,Makennah Craft,Campbellsville,fall,Fall 0:48,Makayla Young,Indiana Tech
2026,103,Cons. Round 4,Isabelle Apple,Grand View,fall,Fall 3:39,Liana Ferreira,Southern Oregon
2026,103,Cons. Round 3,Calli Connally,Wayland Baptist,tech fall,TF 12-1,Alexandra Evans,Rio Grande
2026,103,Cons. Round 3,Destiny Jones,Saint Mary,fall,Fall 0:30,Zoey Mzeru,Central Methodist
2026,103,Cons. Round 3,Makayla Young,Indiana Tech,fall,Fall 2:53,Morgan Repasky,Montreat
2026,103,Cons. Round 3,Liana Ferreira,Southern Oregon,fall,Fall 4:47,Karina Vang,Doane
2026,103,Quarterfinal,Erin Hikiji,Providence,decision,Dec 11-4,Alexsys Jacquez,Saint Mary
2026,103,Quarterfinal,Lita Cruz,Grand View,decision,Dec 6-4,Aynsley Fink,Ottawa
2026,103,Quarterfinal,Zoey Haney,Indiana Tech,decision,Dec 5-4,Isabelle Apple,Grand View
2026,103,Quarterfinal,Alexis Miller,Oklahoma City,fall,Fall 2:09,Makennah Craft,Campbellsville
2026,103,Cons. Round 2,Calli Connally,Wayland Baptist,tech fall,TF 10-0,Mackenzie Gilbert,Waldorf
2026,103,Cons. Round 2,Makayla Young,Indiana Tech,decision,Dec 4-2,Isabella Bocanegra,Providence
2026,103,Cons. Round 2,Liana Ferreira,Southern Oregon,fall,Fall 5:51,Kimberly Navarette,Doane
2026,103,Champ. Round 2,Erin Hikiji,Providence,decision,Dec 8-1,Liana Ferreira,Southern Oregon
2026,103,Champ. Round 2,Alexsys Jacquez,Saint Mary,tech fall,TF 11-0,Karina Vang,Doane
2026,103,Champ. Round 2,Aynsley Fink,Ottawa,tech fall,TF 10-0,Makayla Young,Indiana Tech
2026,103,Champ. Round 2,Lita Cruz,Grand View,fall,Fall 5:50,Morgan Repasky,Montreat
2026,103,Champ. Round 2,Zoey Haney,Indiana Tech,tech fall,TF 10-0,Zoey Mzeru,Central Methodist
2026,103,Champ. Round 2,Isabelle Apple,Grand View,fall,Fall 2:46,Destiny Jones,Saint Mary
2026,103,Champ. Round 2,Alexis Miller,Oklahoma City,fall,Fall 1:34,Alexandra Evans,Rio Grande
2026,103,Champ. Round 2,Makennah Craft,Campbellsville,decision,Dec 6-5,Calli Connally,Wayland Baptist
2026,103,Champ. Round 1,Erin Hikiji,Providence,tech fall,TF 10-0,Mackenzie Gilbert,Waldorf
2026,103,Champ. Round 1,Isabelle Apple,Grand View,tech fall,TF 12-2,Isabella Bocanegra,Providence
2026,103,Champ. Round 1,Calli Connally,Wayland Baptist,fall,Fall 0:59,Kimberly Navarette,Doane
2026,110,1st Place Match,Mia Palumbo,William Penn,tech fall,TF 10-0,Avery Ashley,Oklahoma City
2026,110,3rd Place Match,Tristan Nitta,Grand View,fall,Fall 4:28,Kylie Robledo,Baker
2026,110,5th Place Match,Kayla McNatt,Arizona Christian,injury default,Inj. 0:00,Paige Morales,Providence
2026,110,7th Place Match,Avy Perez,William Penn,fall,Fall 2:59,Chloe Brewis,Hastings
2026,110,Cons. Semi,Kylie Robledo,Baker,decision,Dec 7-0,Paige Morales,Providence
2026,110,Cons. Semi,Tristan Nitta,Grand View,fall,Fall 4:17,Kayla McNatt,Arizona Christian
2026,110,Cons. Round 5,Kylie Robledo,Baker,decision,Dec 18-10,Chloe Brewis,Hastings
2026,110,Cons. Round 5,Tristan Nitta,Grand View,fall,Fall 1:01,Avy Perez,William Penn
2026,110,Semifinal,Mia Palumbo,William Penn,tech fall,TF 10-0,Kayla McNatt,Arizona Christian
2026,110,Semifinal,Avery Ashley,Oklahoma City,fall,Fall 2:48,Paige Morales,Providence
2026,110,Cons. Round 4,Chloe Brewis,Hastings,fall,Fall 4:53,Jenna Gerhardt,Dickinson State
2026,110,Cons. Round 4,Kylie Robledo,Baker,decision,Dec 6-3,Emma Jones,Indiana Tech
2026,110,Cons. Round 4,Tristan Nitta,Grand View,tech fall,TF 10-0,Eliana Martinez,Grand View
2026,110,Cons. Round 4,Avy Perez,William Penn,tech fall,TF 10-0,Reagan Thomas,Lindsey Wilson
2026,110,Cons. Round 3,Chloe Brewis,Hastings,tech fall,TF 10-0,Myriam Riley,Dickinson State
