school,city,state,lat,lng
Life University,Marietta,GA,33.948,-84.5167
Southern Oregon University,Ashland,OR,42.1906,-122.6953
University of the Cumberlands,Williamsburg,KY,36.7437,-84.1566
Grand View University,Des Moines,IA,41.6162,-93.5976
Campbellsville University,Campbellsville,KY,37.3456,-85.3422
University of Providence,Great Falls,MT,47.4912,-111.2725
Missouri Valley College,Marshall,MO,39.1172,-93.1896
Oklahoma City University,Oklahoma City,OK,35.495,-97.5435
Menlo College,Atherton,CA,37.4561,-122.1897
William Penn University,Oskaloosa,IA,41.3094,-92.6468
Indiana Tech,Fort Wayne,IN,41.0772,-85.1278
Wayland Baptist University,Plainview,TX,34.1856,-101.716
Ottawa University,Ottawa,KS,38.6044,-95.2636
Eastern Oregon University,La Grande,OR,45.3218,-118.0858
Texas Wesleyan University,Fort Worth,TX,32.7307,-97.2882
University of Jamestown,Jamestown,ND,46.9142,-98.7032
Missouri Baptist University,St. Louis,MO,38.6447,-90.505
Hastings College,Hastings,NE,40.5928,-98.3719
Baker University,Baldwin City,KS,38.7772,-95.1878
Midland University,Fremont,NE,41.4394,-96.4975
Lyon College,Batesville,AR,35.772,-91.6374
University of Saint Mary,Leavenworth,KS,39.2947,-94.908
Waldorf University,Forest City,IA,43.2647,-93.6374
Lindsey Wilson College,Columbia,KY,37.1026,-85.3086
Doane University,Crete,NE,40.6247,-96.9536
York University,York,NE,40.8678,-97.5925
Central Methodist University,Fayette,MO,39.1464,-92.7058
Brewton-Parker College,Mount Vernon,GA,32.1821,-82.5932
Corban University,Salem,OR,44.8872,-122.9567
Avila University,Kansas City,MO,38.9136,-94.5772
Central Christian College,McPherson,KS,38.3697,-97.6492
Dickinson State University,Dickinson,ND,46.8853,-102.7877
Friends University,Wichita,KS,37.6839,-97.3592
Evergreen State College,Olympia,WA,47.0722,-122.9772
Lourdes University,Sylvania,OH,41.7142,-83.705
Vanguard University,Costa Mesa,CA,33.6608,-117.9042
Simpson University,Redding,CA,40.6067,-122.3386
Bismarck State College,Bismarck,ND,46.8189,-100.8172
St. Andrews University,Laurinburg,NC,34.7539,-79.4678
Westcliff University,Irvine,CA,33.6846,-117.8265
William Woods University,Fulton,MO,38.8475,-91.9547
Montreat College,Montreat,NC,35.6536,-82.2989
Siena Heights University,Adrian,MI,41.9056,-84.0264
Arizona Christian University,Glendale,AZ,33.6386,-112.1856
Dakota Wesleyan University,Mitchell,SD,43.7144,-98.0189
Georgetown College,Georgetown,KY,38.2136,-84.5572
Jarvis Christian University,Hawkins,TX,32.5892,-95.2056
University of Rio Grande,Rio Grande,OH,38.9953,-82.3789
Rochester Christian University,Rochester Hills,MI,42.6681,-83.1533
New College of Florida,Sarasota,FL,27.385,-82.5594
Iowa Wesleyan University,Mount Pleasant,IA,40.9678,-91.5543
Lincoln College,Lincoln,IL,40.1500,-89.3667
Warner Pacific University,Portland,OR,45.5100,-122.6000
