age_group,weight_class,round,winner,winner_school,win_method,score,loser,loser_school
Finals,101,Finals,Stefana Jelacic,Lourdes (Ohio),VPO1,12-3,Erin Hikiji,Providence (Mont.)
Finals,109,Finals,Mia Palumbo,William Penn (Iowa),VPO1,3-1,Jasmine Howard,Texas Wesleyan
Finals,116,Finals,Juliana Diaz,Missouri Baptist,VPO1,7-6,Camille Fournier,Texas Wesleyan
Finals,123,Finals,Cristelle Rodriguez,Doane (Neb.),VSU,10-0,1:38 Maya Davis,Grand View (Iowa)
Finals,130,Finals,Carolina Moreno,Southern Oregon,VSU,11-0,4:07 Sarah Savidge,Life (Ga.)
Finals,136,Finals,Adaugo Nwachukwu,William Penn (Iowa),VFA,2:16,9-2 Zaynah McBryde,Life (Ga.)
Finals,143,Finals,Jamilah McBryde,Life (Ga.),VSU,10-0,2:50 Emma Walker,Campbellsville (Ky.)
Finals,155,Finals,Caitlyn Davis,Southern Oregon,VPO1,4-2,Latifah McBryde,Life (Ga.)
Finals,170,Finals,Ashley Lekas,William Penn (Iowa),VPO1,4-2,Abby McIntyre,Grand View (Iowa)
Finals,191,Finals,Tavia Heidelberg-Tillitson,Menlo (Calif.),VPO1,4-3,Joanna Hendricks,Waldorf (Iowa)
Semi-Finals,101,Semi-Finals,Erin Hikiji,Providence (Mont.),VFA,1:47,10-0 Esther Walker,Midland University (Neb.)
Semi-Finals,101,Semi-Finals,Stefana Jelacic,Lourdes (Ohio),VSU1,12-1,4:00 Kayla McKinley-Johnson,Menlo (Calif.)
Semi-Finals,109,Semi-Finals,Mia Palumbo,William Penn (Iowa),VPO1,10-6,Paige Morales,Providence (Mont.)
Semi-Finals,109,Semi-Finals,Jasmine Howard,Texas Wesleyan,VPO,8-0,Diana Gonzalez,Life (Ga.)
Semi-Finals,116,Semi-Finals,Juliana Diaz,Missouri Baptist,VPO1,7-4,Katherine Heath,Baker (Kan.)
Semi-Finals,116,Semi-Finals,Camille Fournier,Texas Wesleyan,VSU1,12-1,3:42 Avery Ashley,Oklahoma City
Semi-Finals,123,Semi-Finals,Cristelle Rodriguez,Doane (Neb.),VSU,10-0,1:37 Sophia Smith,Oklahoma City
Semi-Finals,123,Semi-Finals,Maya Davis,Grand View (Iowa),VPO,9-0,Joanna Vanderwood,William Penn (Iowa)
Semi-Finals,130,Semi-Finals,Carolina Moreno,Southern Oregon,VSU,10-0,3:36 Alysaa Randles,Providence (Mont.)
Semi-Finals,130,Semi-Finals,Sarah Savidge,Life (Ga.),VPO1,6-4,Janiah Jones,Missouri Baptist
Semi-Finals,136,Semi-Finals,Adaugo Nwachukwu,William Penn (Iowa),VFA,4:58,16-6 Waipuilani Estrella-Beauchamp,Providence (Mont.)
Semi-Finals,136,Semi-Finals,Zaynah McBryde,Life (Ga.),DSQ,Andrea,Schlabach,Grand View (Iowa)
Semi-Finals,143,Semi-Finals,Jamilah McBryde,Life (Ga.),VSU,10-0,Madison Diaz,Grand View (Iowa)
Semi-Finals,143,Semi-Finals,Emma Walker,Campbellsville (Ky.),VPO1,6-2,Bella Amaro,Southern Oregon
Semi-Finals,155,Semi-Finals,Caitlyn Davis,Southern Oregon,VSU,13-0,5:34 Flor Parker-Borreo,Evergreen (Wash.)
Semi-Finals,155,Semi-Finals,Latifah McBryde,Life (Ga.),VSU,10-0,4:24 Liv Wieber,Eastern Oregon
Semi-Finals,170,Semi-Finals,Abby McIntyre,Grand View (Iowa),VSU,10-0,4:55 Kalila Shrive,Menlo (Calif.)
Semi-Finals,170,Semi-Finals,Ashley Lekas,William Penn (Iowa),VPO,8-0,Shenita Lawson,Southern Oregon
Semi-Finals,191,Semi-Finals,Tavia Heidelberg-Tillitson,Menlo (Calif.),VPO1,3-1,MaQuoia Bernabe,Cumberlands (Ky.)
Semi-Finals,191,Semi-Finals,Joanna Hendricks,Waldorf (Iowa),VPO1,9-4,Lessly Sandoval,St. Mary (Kan.)
Quarter-Finals,101,Quarter-Finals,Erin Hikiji,Providence (Mont.),VSU,10-0,1:03 Riley Banyas,Campbellsville (Ky.)
Quarter-Finals,101,Quarter-Finals,Stefana Jelacic,Lourdes (Ohio),VSU,10-0,0:44 Elizabeth Dosado,Cumberlands (Ky.)
Quarter-Finals,101,Quarter-Finals,Kayla McKinley-Johnson,Menlo (Calif.),VIN,0:03,0-0 Zoe Omura,Midland University (Neb.)
Quarter-Finals,101,Quarter-Finals,Esther Walker,Midland University (Neb.),VPO1,3-1,Alyssa Quezaire,Missouri Baptist
Quarter-Finals,109,Quarter-Finals,Mia Palumbo,William Penn (Iowa),VSU,10-0,2:15 Tristan Nitta,Grand View (Iowa)
Quarter-Finals,109,Quarter-Finals,Diana Gonzalez,Life (Ga.),VPO1,12-7,Alexsys Jacquez,St. Mary (Kan.)
Quarter-Finals,109,Quarter-Finals,Jasmine Howard,Texas Wesleyan,VPO1,10-3,Tehani Soares,Indiana Tech
Quarter-Finals,109,Quarter-Finals,Paige Morales,Providence (Mont.),VPO1,10-4,Emma Baertlein,Southern Oregon
Quarter-Finals,116,Quarter-Finals,Juliana Diaz,Missouri Baptist,VSU,11-0,4:42 Marissa Kurtz,Southern Oregon
Quarter-Finals,116,Quarter-Finals,Avery Ashley,Oklahoma City,VSU,10-0,1:18 Ariana Martinez,Life (Ga.)
Quarter-Finals,116,Quarter-Finals,Camille Fournier,Texas Wesleyan,VPO1,13-5,Icart Galumette,Campbellsville (Ky.)
