weight_class,round,winner,winner_school,win_type,loser,loser_school,score
103,1st Place Match,Erin Hikiji,Providence,tech fall,Zoey Haney,Indiana Tech,TF 11-0
103,3rd Place Match,Makennah Craft,Campbellsville,tech fall,Alexsys Jacquez,Saint Mary,TF 11-0
103,5th Place Match,Lita Cruz,Grand View,decision,Alexis Miller,Oklahoma City,Dec 8-4
103,7th Place Match,Aynsley Fink,Ottawa,tech fall,Isabelle Apple,Grand View,TF 11-0
103,Cons. Semi,Alexsys Jacquez,Saint Mary,decision,Alexis Miller,Oklahoma City,Dec 13-8
103,Cons. Semi,Makennah Craft,Campbellsville,decision,Lita Cruz,Grand View,Dec 5-4
103,Cons. Round 5,Alexsys Jacquez,Saint Mary,tech fall,Aynsley Fink,Ottawa,TF 15-2
103,Cons. Round 5,Makennah Craft,Campbellsville,decision,Isabelle Apple,Grand View,Dec 7-5
103,Semifinal,Erin Hikiji,Providence,tech fall,Lita Cruz,Grand View,TF 10-0
103,Semifinal,Zoey Haney,Indiana Tech,fall,Alexis Miller,Oklahoma City,Fall 1:55
103,Cons. Round 4,Aynsley Fink,Ottawa,decision,Calli Connally,Wayland Baptist,Dec 6-2
103,Cons. Round 4,Alexsys Jacquez,Saint Mary,tech fall,Destiny Jones,Saint Mary,TF 13-2
103,Cons. Round 4,Makennah Craft,Campbellsville,fall,Makayla Young,Indiana Tech,Fall 0:48
103,Cons. Round 4,Isabelle Apple,Grand View,fall,Liana Ferreira,Southern Oregon,Fall 3:39
103,Cons. Round 3,Calli Connally,Wayland Baptist,tech fall,Alexandra Evans,Rio Grande,TF 12-1
103,Cons. Round 3,Destiny Jones,Saint Mary,fall,Zoey Mzeru,Central Methodist,Fall 0:30
103,Cons. Round 3,Makayla Young,Indiana Tech,fall,Morgan Repasky,Montreat,Fall 2:53
103,Cons. Round 3,Liana Ferreira,Southern Oregon,fall,Karina Vang,Doane,Fall 4:47
103,Quarterfinal,Erin Hikiji,Providence,decision,Alexsys Jacquez,Saint Mary,Dec 11-4
103,Quarterfinal,Lita Cruz,Grand View,decision,Aynsley Fink,Ottawa,Dec 6-4
103,Quarterfinal,Zoey Haney,Indiana Tech,decision,Isabelle Apple,Grand View,Dec 5-4
103,Quarterfinal,Alexis Miller,Oklahoma City,fall,Makennah Craft,Campbellsville,Fall 2:09
103,Cons. Round 2,Calli Connally,Wayland Baptist,tech fall,Mackenzie Gilbert,Waldorf,TF 10-0
103,Cons. Round 2,Makayla Young,Indiana Tech,decision,Isabella Bocanegra,Providence,Dec 4-2
103,Cons. Round 2,Liana Ferreira,Southern Oregon,fall,Kimberly Navarette,Doane,Fall 5:51
103,Champ. Round 2,Erin Hikiji,Providence,decision,Liana Ferreira,Southern Oregon,Dec 8-1
103,Champ. Round 2,Alexsys Jacquez,Saint Mary,tech fall,Karina Vang,Doane,TF 11-0
103,Champ. Round 2,Aynsley Fink,Ottawa,tech fall,Makayla Young,Indiana Tech,TF 10-0
103,Champ. Round 2,Lita Cruz,Grand View,fall,Morgan Repasky,Montreat,Fall 5:50
103,Champ. Round 2,Zoey Haney,Indiana Tech,tech fall,Zoey Mzeru,Central Methodist,TF 10-0
103,Champ. Round 2,Isabelle Apple,Grand View,fall,Destiny Jones,Saint Mary,Fall 2:46
103,Champ. Round 2,Alexis Miller,Oklahoma City,fall,Alexandra Evans,Rio Grande,Fall 1:34
103,Champ. Round 2,Makennah Craft,Campbellsville,decision,Calli Connally,Wayland Baptist,Dec 6-5
103,Champ. Round 1,Erin Hikiji,Providence,tech fall,Mackenzie Gilbert,Waldorf,TF 10-0
103,Champ. Round 1,Isabelle Apple,Grand View,tech fall,Isabella Bocanegra,Providence,TF 12-2
103,Champ. Round 1,Calli Connally,Wayland Baptist,fall,Kimberly Navarette,Doane,Fall 0:59
110,1st Place Match,Mia Palumbo,William Penn,tech fall,Avery Ashley,Oklahoma City,TF 10-0
110,3rd Place Match,Tristan Nitta,Grand View,fall,Kylie Robledo,Baker,Fall 4:28
110,5th Place Match,Kayla McNatt,Arizona Christian,injury default,Paige Morales,Providence,Inj. 0:00
110,7th Place Match,Avy Perez,William Penn,fall,Chloe Brewis,Hastings,Fall 2:59
110,Cons. Semi,Kylie Robledo,Baker,decision,Paige Morales,Providence,Dec 7-0
110,Cons. Semi,Tristan Nitta,Grand View,fall,Kayla McNatt,Arizona Christian,Fall 4:17
110,Cons. Round 5,Kylie Robledo,Baker,decision,Chloe Brewis,Hastings,Dec 18-10
110,Cons. Round 5,Tristan Nitta,Grand View,fall,Avy Perez,William Penn,Fall 1:01
110,Semifinal,Mia Palumbo,William Penn,tech fall,Kayla McNatt,Arizona Christian,TF 10-0
110,Semifinal,Avery Ashley,Oklahoma City,fall,Paige Morales,Providence,Fall 2:48
110,Cons. Round 4,Chloe Brewis,Hastings,fall,Jenna Gerhardt,Dickinson State,Fall 4:53
110,Cons. Round 4,Kylie Robledo,Baker,decision,Emma Jones,Indiana Tech,Dec 6-3
110,Cons. Round 4,Tristan Nitta,Grand View,tech fall,Eliana Martinez,Grand View,TF 10-0
110,Cons. Round 4,Avy Perez,William Penn,tech fall,Reagan Thomas,Lindsey Wilson,TF 10-0
110,Cons. Round 3,Chloe Brewis,Hastings,tech fall,Myriam Riley,Dickinson State,TF 10-0
110,Cons. Round 3,Kylie Robledo,Baker,tech fall,Julia Snyder,Rochester Christian,TF 11-0
110,Cons. Round 3,Tristan Nitta,Grand View,fall,Makenize Smith,Indiana Tech,Fall 2:35
110,Cons. Round 3,Reagan Thomas,Lindsey Wilson,fall,Kayla Shota,Providence,Fall 1:33
110,Quarterfinal,Mia Palumbo,William Penn,tech fall,Emma Jones,Indiana Tech,TF 11-0
110,Quarterfinal,Kayla McNatt,Arizona Christian,fall,Jenna Gerhardt,Dickinson State,Fall 2:50
110,Quarterfinal,Paige Morales,Providence,decision,Avy Perez,William Penn,Dec 8-4
110,Quarterfinal,Avery Ashley,Oklahoma City,decision,Eliana Martinez,Grand View,Dec 8-3
110,Cons. Round 2,Chloe Brewis,Hastings,tech fall,De`yton Young,Missouri Baptist,TF 13-0
110,Cons. Round 2,Myriam Riley,Dickinson State,decision,Raelynn O`Connor,Hastings,Dec 19-14
110,Cons. Round 2,Julia Snyder,Rochester Christian,injury default,Nizhoni Tallman,Evergreen State,Inj. 0:00
110,Cons. Round 2,Kylie Robledo,Baker,tech fall,Raquel Garcia,Missouri Valley,TF 10-0
110,Cons. Round 2,Makenize Smith,Indiana Tech,decision,Diana Gonzalez,Life,Dec 10-2
110,Cons. Round 2,Kayla Shota,Providence,tech fall,Kaylynn Martin,Friends,TF 10-0
110,Cons. Round 2,Reagan Thomas,Lindsey Wilson,decision,Gracie Elliott,Texas Wesleyan,Dec 6-5
110,Champ. Round 2,Mia Palumbo,William Penn,tech fall,Reagan Thomas,Lindsey Wilson,TF 10-0
110,Champ. Round 2,Emma Jones,Indiana Tech,fall,Kayla Shota,Providence,Fall 0:50
110,Champ. Round 2,Jenna Gerhardt,Dickinson State,decision,Diana Gonzalez,Life,Dec 4-0
110,Champ. Round 2,Kayla McNatt,Arizona Christian,decision,Tristan Nitta,Grand View,Dec 6-6
110,Champ. Round 2,Paige Morales,Providence,decision,Kylie Robledo,Baker,Dec 9-2
110,Champ. Round 2,Avy Perez,William Penn,decision,Nizhoni Tallman,Evergreen State,Dec 9-1
110,Champ. Round 2,Eliana Martinez,Grand View,tech fall,Myriam Riley,Dickinson State,TF 12-0
110,Champ. Round 2,Avery Ashley,Oklahoma City,forfeit,Chloe Brewis,Hastings,FF
110,Champ. Round 1,Mia Palumbo,William Penn,fall,De`yton Young,Missouri Baptist,Fall 1:54
110,Champ. Round 1,Kayla Shota,Providence,tech fall,Raelynn O`Connor,Hastings,TF 12-0
110,Champ. Round 1,Diana Gonzalez,Life,decision,Julia Snyder,Rochester Christian,Dec 7-2
110,Champ. Round 1,Tristan Nitta,Grand View,fall,Raquel Garcia,Missouri Valley,Fall 1:37
110,Champ. Round 1,Avy Perez,William Penn,decision,Makenize Smith,Indiana Tech,Dec 7-1
110,Champ. Round 1,Eliana Martinez,Grand View,fall,Kaylynn Martin,Friends,Fall 0:44
110,Champ. Round 1,Chloe Brewis,Hastings,decision,Gracie Elliott,Texas Wesleyan,Dec 8-5
117,1st Place Match,Christianah Ogunsanya,William Penn,decision,Salyna Shotwell,Life,Dec 5-0
117,3rd Place Match,Zao Estrada,Missouri Valley,tech fall,Cailin Campbell,Grand View,TF 10-0
117,5th Place Match,Grace Lashinsky,Lindsey Wilson,fall,Carolina Rios,Texas Wesleyan,Fall 4:13
117,7th Place Match,Joely Slyter,Providence,tech fall,Angelica Vicente Gonzalez,Doane,TF 12-1
117,Cons. Semi,Zao Estrada,Missouri Valley,tech fall,Carolina Rios,Texas Wesleyan,TF 12-1
117,Cons. Semi,Cailin Campbell,Grand View,tech fall,Grace Lashinsky,Lindsey Wilson,TF 11-0
117,Cons. Round 5,Carolina Rios,Texas Wesleyan,decision,Angelica Vicente Gonzalez,Doane,Dec 3-0
117,Cons. Round 5,Grace Lashinsky,Lindsey Wilson,decision,Joely Slyter,Providence,Dec 5-4
117,Semifinal,Christianah Ogunsanya,William Penn,tech fall,Cailin Campbell,Grand View,TF 13-1
117,Semifinal,Salyna Shotwell,Life,fall,Zao Estrada,Missouri Valley,Fall 2:20
117,Cons. Round 4,Carolina Rios,Texas Wesleyan,fall,Sigrun Metzger,Ottawa,Fall 0:28
117,Cons. Round 4,Angelica Vicente Gonzalez,Doane,decision,Addison Saporito,Ottawa,Dec 7-3
117,Cons. Round 4,Joely Slyter,Providence,decision,Mayangelie Colon,Grand View,Dec 6-2
117,Cons. Round 4,Grace Lashinsky,Lindsey Wilson,tech fall,Chloe Herrick,Baker,TF 10-0
117,Cons. Round 3,Sigrun Metzger,Ottawa,tech fall,Gloria Diaz,Eastern Oregon,TF 12-2
117,Cons. Round 3,Angelica Vicente Gonzalez,Doane,fall,Taylor Hood,Midland,Fall 1:01
117,Cons. Round 3,Mayangelie Colon,Grand View,fall,Sarah Pineda,Missouri Valley,Fall 1:53
117,Cons. Round 3,Chloe Herrick,Baker,fall,Callie Payton,Lindsey Wilson,Fall 5:24
