place,team,abbr,score
1,Life,LIFE,169.0
2,William Penn,WPU,158.5
3,Grand View,GV,145.5
4,Providence,PROV,101.0
5,Wayland Baptist,WYBT,90.5
6,Southern Oregon,SORU,88.0
7,Indiana Tech,INDT,81.5
8,Lindsey Wilson,LWKY,76.0
9,Ottawa,OTTU,68.0
10,Texas Wesleyan,TXWL,55.0
11,Missouri Valley,MOVA,54.5
12,Cumberlands,CMSK,39.0
13,Doane,DOAN,37.5
14,Oklahoma City,OKCT,36.0
15,Evergreen State,EVGN,33.5
16,Dickinson State,DNST,31.5
17,Saint Mary,STMY,28.0
18,Hastings,HAST,27.5
19,Baker,BAKE,26.0
20,Bismarck State,BSC,25.5
21,Campbellsville,CAMP,22.5
22,Avila,AVI,21.5
23,Midland,MIDL,15.5
24,Arizona Christian,ACU,14.0
25,Missouri Baptist,MBAP,11.0
26,Eastern Oregon,EORE,5.0
27,Central Methodist,CMU,4.5
28,Friends,FRND,3.0
29,Rochester Christian,ROCM,3.0
30,York,YORK,3.0
31,Westcliff,WCLF,2.5
32,William Woods,WWMO,2.5
33,Waldorf,WALD,1.0
34,Georgetown,GTKY,0.0
35,Montreat,MTNC,0.0
36,Rio Grande,RIOG,0.0
